sltpt,time
3012,0.30
3012,0.30
3012,0.30
3012,0.30
3012,0.30
3012,0.30
3012,0.31
3012,0.31
3012,0.31
3011,0.30
3011,0.31
3011,0.32
3011,0.30
3011,0.31
3011,0.30
3011,0.30
3011,0.31
3011,0.30
3011,0.31
3001,0.30
3001,0.30
3001,0.30
3001,0.31
3001,0.30
3001,0.31
3001,0.30
3001,0.30
3001,0.30
3001,0.31
2761,0.30
2761,0.30
2761,0.30
2761,0.32
2761,0.30
2761,0.30
2761,0.31
2761,0.30
2761,0.31
2761,0.30
2761,0.30
3049,0.30
3049,0.31
3049,0.30
3049,0.31
3049,0.31
3049,0.30
3049,0.30
3049,0.30
3049,0.31
3049,0.30
2998,0.30
2998,0.30
2998,0.30
2998,0.30
2998,0.31
2998,0.31
2998,0.30
2998,0.31
2998,0.30
2998,0.30
3025,0.30
3025,0.31
3025,0.32
3025,0.31
2741,0.30
2741,0.30
2741,0.31
2741,0.30
2741,0.31
2741,0.30
2741,0.31
2741,0.32
2741,0.30
2741,0.31
2985,0.30
2985,0.30
2985,0.30
2985,0.31
2985,0.30
2985,0.30
2985,0.30
2985,0.30
2985,0.30
2985,0.30
2985,0.30
2754,0.30
2754,0.31
2754,0.29
2754,0.30
2754,0.30
2754,0.30
2754,0.30
2754,0.31
2754,0.31
2754,0.31
2710,0.30
2710,0.30
2710,0.30
2710,0.31
2710,0.30
2710,0.30
2710,0.30
2710,0.31
2710,0.31
2710,0.30
2710,0.31
2772,0.30
2772,0.31
2772,0.31
2772,0.30
2772,0.31
2772,0.31
2772,0.31
2772,0.30
2772,0.30
2772,0.30
3063,0.30
3063,0.30
3063,0.30
3063,0.30
3063,0.30
3063,0.30
3063,0.30
3063,0.30
3063,0.31
3063,0.31
2996,0.30
2996,0.30
2996,0.30
2996,0.31
